"","X2.5.","X25.","X50.","X75.","X97.5.","Mean","SD","simulation"
"mu[136]",0.28907379720664,0.684258827689461,0.975668726826167,1.36692917050622,2.52130947327262,1.08809149250397,0.578632419726976,10
"mu[137]",1.26084804592854,2.20575517291315,2.9207137657367,3.81749040939873,6.26796527878727,3.14091826422046,1.31379924156045,10
"mu[138]",0.409930021869879,0.892818949555283,1.28607603967866,1.83250437878254,3.6763274586722,1.47487762020451,0.853130668877538,10
"mu[139]",0.214152211899808,0.617944888921877,0.924021008123822,1.35793609968511,2.77695335733961,1.07141009763865,0.6667977733456,10
"mu[140]",0.285714138250418,0.617056912629253,0.888980715314895,1.26025805061763,2.41619904359881,1.00619125587605,0.548725088706042,10
"mu[141]",0.845446043487322,1.63172292507461,2.30916840449143,3.19452545743249,5.77275390133272,2.58140429369237,1.33282848265105,10
"mu[142]",0.563992210796809,1.07232074147408,1.47535404695748,2.03129841709683,3.71187902935182,1.64867236203458,0.824752577522248,10
"mu[143]",0.277292893942872,1.1483155486769,1.97448288553071,3.11427385869925,6.34587796749206,2.31022232981082,1.59505266973693,10
"mu[144]",0.567123882393874,1.54299991877987,2.2761851802018,3.1615416763675,5.56536881484082,2.47174187744263,1.29825685573579,10
"mu[145]",21.4626998065626,31.3403273505323,37.2335967294385,43.8487455888584,57.5957586225177,37.9308828624362,9.41895709131627,10
"mu[146]",0.684491474526389,1.74563079748416,2.6031520386735,3.85001265849567,7.65919256907816,3.00364529989938,1.82854371974084,10
"mu[147]",0.229082590821003,0.954268340026798,1.76056395228998,2.8047767802896,5.81489841357856,2.06492914989772,1.486810566351,10
"mu[148]",1.1762696921645,2.30565816376865,3.36856083465689,5.18569533443125,14.6234932068771,4.40500846141475,3.55805522238246,10
"mu[149]",0.157604972347345,0.530632322415908,0.935816131886006,1.61242238060301,3.97624019376423,1.22748819048981,1.03391225058663,10
"mu[150]",0.617025777816782,1.562741135664,2.33938411799947,3.37738105774166,6.61735670957421,2.66269619138114,1.59193543810288,10
"mu[151]",0.453121946651572,1.08690560608983,1.63235281699633,2.46963833724022,6.53881779670179,2.05314152171695,1.58763813495573,10
"mu[152]",0.765646658604431,1.43860525980219,1.95572546627623,2.64945989308657,4.76661077154039,2.15680417561921,1.0190901035905,10
"mu[153]",1.52049657698649,2.5234255550757,3.37002187641966,4.41388054828021,7.59247163343866,3.65827602422627,1.59873270479381,10
"mu[154]",0.419127552830673,1.05000814066544,1.62443172040353,2.48051425398751,6.47791378356281,2.05608828602578,1.66390463781061,10
"mu[155]",1.07183298139211,3.56423713123194,5.09883466606876,6.89909939817186,11.8014563925031,5.43812794171189,2.68584954767126,10
"mu[156]",0.514731991489815,1.80257725125199,2.69049088803069,3.80057193223662,7.40538906989425,2.98260125091662,1.72454498175763,10
"mu[157]",16.4667589071097,25.8346380727704,32.4734297250584,40.5941467165279,59.1175238074638,33.9727798464507,11.1894326803538,10
"mu[158]",0.0984403372708895,0.27116057692539,0.447005076424941,0.722194781376089,1.62874386249759,0.56042850486223,0.429839458940542,10
"mu[159]",2.12984299353208,5.94477450961902,9.15246721702972,13.1832903100902,23.3080886003839,10.0924186327347,5.65183030203525,10
"mu[160]",0.740519310022263,1.90589528446513,2.6834543124176,3.6836311537074,7.06511145420916,2.98588875784444,1.64317508000235,10
"mu[161]",0.33112075785765,1.06679115417126,1.61793973543927,2.29834948793757,4.1872772294993,1.78348099633286,1.00448032465152,10
"mu[162]",1.89688447063708,4.61342392974175,7.4532346672756,11.8728199250575,25.7660634248294,9.15065195728408,6.35704621950974,10
"mu[163]",1.03003258346526,2.11513465055804,3.09979057145438,4.56815919635991,10.082805873557,3.70927150866216,2.41726074627785,10
"mu[164]",0.968196899611256,2.4047509928171,3.21334785158677,4.23891046700096,6.97448396668876,3.41999279029606,1.49578445412675,10
"mu[165]",1.11910653833537,2.17134435706715,2.9300865419414,3.96313675727155,7.20469881444498,3.24494614460627,1.56603439527825,10
"mu[166]",0.604677396484658,1.65279133167943,2.74126989271941,4.69051329039145,12.761346375139,3.7250322677241,3.27021448686023,10
"mu[167]",0.181587599323511,0.558726139372519,0.951219275176061,1.53571208099858,3.6157095469943,1.19005236506801,0.915125253425208,10
"mu[168]",0.392394043894155,1.13002279870464,1.77507599707573,2.82642890593915,6.63062863328105,2.22593375449346,1.68096858176919,10
"mu[169]",3.38112320975421,7.0771429388506,10.2805463322326,14.8257663662972,28.5618185207835,11.7665560018844,6.69300340524357,10
"mu[170]",0.230750919866717,0.662889685813938,1.01986027619646,1.49250812486179,2.9859927206519,1.16933271678639,0.731574599783982,10
"mu[171]",1.90477442799187,5.5294471200119,9.22155431951395,14.7371517566899,30.362104644886,11.1813732017365,7.7754733956688,10
"mu[172]",0.246346987819819,0.895805403180188,1.67709261990666,3.09297306281636,9.29466665734874,2.47296683878108,2.63382760976912,10
"mu[173]",0.440983938684411,1.51964285800248,2.48603694475773,3.83111093226941,8.47054358527451,2.98103605809419,2.19983717454756,10
"mu[174]",0.586383500794174,2.6328465695924,4.76150804162505,8.401405164628,22.4697154240643,6.45210745927453,5.76792617335073,10
"mu[175]",0.218883925573779,0.782145019761319,1.36870455058036,2.22425410435929,5.02943491575589,1.70149312077126,1.35550061853057,10
"mu[176]",21.7209695326908,33.6449314729623,42.3037019558481,53.076212455722,81.6030982490004,44.6681226234662,15.505845939427,10
"mu[177]",7.90930362387605,13.3314142837764,17.3737519040856,22.481595594066,37.839169098836,18.7649142918031,7.75910192648391,10
"mu[178]",0.3447847244988,1.52814007826603,3.22659022337604,6.53111278017089,19.8416011776341,5.00583083945109,5.39975802069879,10
"mu[179]",0.343442414264125,1.68170110090547,3.92756248180132,9.38592171692281,38.2063640781572,7.79463982168128,10.9160902920419,10
"mu[180]",0.287844229353653,1.20197808247833,2.43374950262419,5.13300834569715,17.2480263540632,4.05369239698317,4.84536592301736,10
"mu.b",-7.7238325280973,-4.19850152932105,-3.17261607074205,-2.34873441477773,-0.787710724132153,-3.42393656981438,1.74705934034834,10
"r",0.924118436925573,0.982667800491026,1.01279289886163,1.04422407709734,1.10680167346527,1.01347340040855,0.0463975207744525,10
"rg",0.718137182031184,0.77849061005548,0.812237095302725,0.846971725284311,0.920185790274001,0.813649341579364,0.0508432875299802,10
"tau",0.563984832092703,0.716201331926871,0.811933501512301,0.913836999223858,1.13087265096915,0.821418087166093,0.144010644789967,10
"tau.b",0.0222916898563812,0.0982883871877761,0.18373439161039,0.324942901770017,0.773378878715494,0.240985687627335,0.20258777768131,10
