number,Plate,row,col,Casa,Data,Coll,Especies,Numero,Amostra,abdomen,Resultado
177,2,a,11,ct5,14/12/2001,r,funestus,10,1,fed,0
178,2,b,11,ct5,14/12/2001,r,funestus,10,1,fed,2
269,3,e,10,ct5,14/12/2001,r,funestus,10,1,fed,0
270,3,f,10,ct5,14/12/2001,r,funestus,10,1,fed,3
271,3,g,10,ct5,14/12/2001,r,funestus,10,1,fed,3
1008,8,h,6,425,12/12/2001,l,funestus,6,1,fed,3
1009,8,a,7,ct5,17/12/2001,r,funestus,10,1,fed,0
1010,8,b,7,ct5,17/12/2001,r,funestus,10,1,fed,3
1012,8,d,7,1133,21/12/2001,l,funestus,8,1,fed,3
1127,9,g,9,1134,20/12/2001,l,funestus,10,1,fed,0
1137,9,a,11,ct4,21/12/2001,l,funestus,10,1,fed,0
1138,9,b,11,ct4,21/12/2001,l,funestus,10,1,fed,2
1149,9,e,12,ct5,12/12/2001,r,funestus,10,1,fed,0
1150,9,f,12,ct5,12/12/2001,r,funestus,10,1,fed,0
1151,9,g,12,ct5,12/12/2001,r,funestus,9,1,fed,0
1544,12,h,1,1104,28/12/2001,l,gambiae,10,1,fed,1
1555,12,c,3,425,12/11/2001,l,funestus,10,1,fed,0
1556,12,d,3,425,12/11/2001,l,funestus,10,1,fed,0
1557,12,e,3,425,12/11/2001,l,funestus,8,1,fed,0
1569,12,a,5,ct5,20/12/2001,l,funestus,10,1,fed,0
1602,12,b,9,1104,27/12/2001,l,gambiae,9,1,fed,0
1605,12,e,9,1104,27/12/2001,l,funestus,10,1,fed,0
884,13,d,3,ct2,13/12/2001,l,funestus,10,1,fed,3
885,13,e,3,ct2,13/12/2001,l,funestus,10,1,fed,0
886,13,f,3,ct2,13/12/2001,l,funestus,10,1,fed,0
891,13,c,4,ct2,13/12/2001,l,funestus,10,1,fed,0
892,13,d,4,ct2,13/12/2001,l,funestus,10,1,fed,0
917,13,e,7,ct5,17/12/2001,r,funestus,10,1,fed,0
918,13,f,7,ct5,17/12/2001,r,funestus,10,1,fed,3
1470,14,f,4,425,12/12/2001,l,funestus,8,1,fed,3
1535,14,g,12,ct1,27/12/2001,l,funestus,10,1,fed,3
1355,15,c,2,1065,02/12/2002,l,funestus,10,1,fed,0
1356,15,d,2,1065,02/12/2002,l,funestus,6,1,fed,0
1383,15,g,5,33,02/07/2002,l,funestus,10,1,fed,0
1384,15,h,5,33,02/07/2002,l,funestus,10,1,fed,0
1385,15,a,6,33,02/07/2002,l,funestus,8,1,fed,0
1416,15,h,9,405,28/01/2002,l,funestus,6,1,fed,0
1295,16,g,6,121,02/10/2002,l,funestus,10,1,fed,0
1332,16,d,11,34,02/08/2002,l,funestus,10,1,fed,0
1333,16,e,11,34,02/08/2002,l,funestus,5,1,fed,0
1159,17,g,1,21,02/12/2002,l,gambiae,4,1,fed,0
1215,17,g,8,ct1,02/07/2002,l,funestus,10,1,fed,0
1224,17,h,9,21,15/02/2002,l,gambiae,7,1,fed,0
1225,17,a,10,21,15/02/2002,l,funestus,10,1,fed,0
1226,17,b,10,21,15/02/2002,l,funestus,10,1,fed,0
1227,17,c,10,21,15/02/2002,l,funestus,8,1,fed,0
1229,17,e,10,21,15/02/2002,l,gambiae,4,1,fed,0
1653,20,e,3,ct3,02/01/2002,l,funestus,8,1,fed,0
1658,20,b,4,ct1,02/05/2002,l,gambiae,9,1,fed,0
1678,20,f,6,10,02/11/2002,t,funestus,10,1,fed,3
1679,20,g,6,10,02/11/2002,t,funestus,10,1,fed,0
1692,20,d,8,33,02/08/2002,l,funestus,10,1,fed,3
1693,20,e,8,33,02/08/2002,l,funestus,10,1,fed,0
1694,20,f,8,33,02/08/2002,l,funestus,6,1,fed,0
1744,21,h,2,199,02/04/2002,l,gambiae,7,1,fed,0
1745,21,a,3,199,02/04/2002,l,funestus,10,1,fed,0
1782,21,f,7,164,14/02/2002,l,funestus,10,1,fed,0
1783,21,g,7,164,14/02/2002,l,funestus,6,1,fed,3
1830,22,f,1,444,17/07/2002,l,funestus,10,1,fed,0
1831,22,g,1,444,17/07/2002,l,funestus,10,1,fed,0
1832,22,h,1,444,17/07/2002,l,funestus,10,1,fed,0
1880,22,h,7,557,17/07/2002,l,funestus,10,1,fed,0
1881,22,a,8,557,17/07/2002,l,funestus,10,1,fed,0
1882,22,b,8,557,17/07/2002,l,funestus,10,1,fed,0
1919,22,g,12,857,23/10/2002,l,funestus,7,1,fed,3
2035,24,c,3,,07/09/2002,l,funestus,10,1,fed,0
2067,24,c,7,723,30/09/2002,l,funestus,10,1,fed,1
2090,24,b,10,733,10/01/2002,l,funestus,8,1,fed,0
2105,24,a,12,794,15/10/2002,l,funestus,10,1,fed,0
2106,24,b,12,794,15/10/2002,l,funestus,10,1,fed,0
2107,24,c,12,794,15/10/2002,l,funestus,10,1,fed,3
2108,24,d,12,794,15/10/2002,l,funestus,10,1,fed,0
2109,24,e,12,794,15/10/2002,l,funestus,10,1,fed,3
2110,24,f,12,794,15/10/2002,l,funestus,10,1,fed,0
2111,24,g,12,794,15/10/2002,l,funestus,10,1,fed,0
2112,24,h,12,794,15/10/2002,l,funestus,10,1,fed,0
2118,25,f,1,794,19/10/2002,l,funestus,10,1,fed,3
2119,25,g,1,794,19/10/2002,l,funestus,10,1,fed,3
2120,25,h,1,794,19/10/2002,l,funestus,10,1,fed,3
2121,25,a,2,794,19/10/2002,l,funestus,10,1,fed,3
2130,25,b,3,795,14/10/2002,l,funestus,5,1,fed,0
2182,25,f,9,797,15/10/2002,l,funestus,10,1,fed,0
2183,25,g,9,797,14/10/2002,l,funestus,10,1,fed,0
499,109,c,3,64,14/01/2002,l,funestus,10,1,fed,3
500,109,d,3,64,14/01/2002,l,funestus,10,1,fed,0
504,109,h,3,64,14/01/2002,l,funestus,10,1,fed,0
530,109,b,7,190,16/01/2002,l,funestus,6,1,fed,0
538,109,b,8,ct4,10/01/2002,l,funestus,6,1,fed,0
225,110,a,5,ct1,07/02/2002,l,funestus,10,1,fed,0
265,151,a,10,425,12/12/2001,l,funestus,8,1,fed,3
72,153,h,9,411,18/02/2002,l,funestus,7,1,fed,0
2049,154,a,5,33,07/02/2002,l,funestus,10,1,fed,0
2050,154,b,5,33,07/02/2002,l,funestus,8,1,fed,0
2103,154,g,11,425,12/12/2001,l,funestus,6,1,fed,3
1496,155,h,7,121,10/02/2002,l,funestus,10,1,fed,0
2230,156,f,3,21,15/02/2002,l,gambiae,7,1,fed,0
2289,156,a,11,ct5,12/12/2001,r,funestus,10,1,fed,0
2290,156,b,11,ct5,12/12/2001,r,funestus,9,1,fed,0
2295,156,g,11,ct5,12/12/2001,r,funestus,10,1,fed,0
1649,157,a,3,21,15/02/2002,l,funestus,8,1,fed,0
1562,158,b,4,33,07/02/2002,l,funestus,10,1,fed,0
1581,158,e,6,34,08/02/2002,l,funestus,10,1,fed,0
1583,158,g,6,34,08/02/2002,l,funestus,5,1,fed,0
1605,158,e,9,1065,12/02/2002,l,funestus,6,1,fed,0
1608,158,h,9,1065,12/02/2002,l,funestus,10,1,fed,0
2475,162,c,10,1081,11/12/2001,l,funestus,10,1,fed,2
2476,162,d,10,1081,11/12/2001,l,funestus,10,1,fed,3
2479,162,g,10,1081,11/12/2001,l,funestus,10,1,fed,0
2187,163,c,10,405,28/01/2002,l,funestus,6,1,fed,0
1073,165,a,3,21,15/02/2002,l,funestus,10,1,fed,0
1075,165,c,3,21,15/02/2002,l,funestus,10,1,fed,0
1078,165,f,3,21,15/02/2002,l,gambiae,4,1,fed,0
1084,165,d,4,nao tem nr,15/02/2002,t,funestus,6,1,fed,0
1025,166,a,9,ct2,11/12/2001,l,funestus,10,1,fed,3
1026,166,b,9,ct2,11/12/2001,l,funestus,10,1,fed,3
1027,166,c,9,425,11/12/2001,l,funestus,10,1,fed,0
1028,166,d,9,425,11/12/2001,l,funestus,10,1,fed,0
1029,166,e,9,425,11/12/2001,l,funestus,8,1,fed,0
1032,166,h,9,ct2,11/12/2001,l,funestus,10,1,fed,0
922,167,b,8,21,12/02/2002,l,gambiae,4,1,fed,0
154,202,b,8,1104,27/12/2001,l,gambiae,9,1,fed,0
190,202,g,12,1104,27/12/2001,l,funestus,10,1,fed,0
249,203,b,8,ct1,27/12/2001,l,funestus,10,1,fed,3
265,203,b,10,1104,28/12/2001,l,gambiae,10,1,fed,1
,205,a,10,1528,23/02/2005,r-10',gambiae,10,1,fed,3
,205,b,10,1528,23/02/2005,r-10',gambiae,3,1,fed,0
,206,d,6,3201,24/02/2005,r-10',gambiae,10,1,fed,0
,206,e,10,43,23/02/2005,r-10',gambiae,10,1,fed,0
1293,215,b,5,ct5,18/12/2001,r,funestus,10,1,fed,0
1294,215,c,5,ct5,18/12/2001,r,funestus,6,1,fed,0
1348,215,c,12,ct5,20/12/2001,l,funestus,10,1,fed,0
1350,215,e,12,1134,20/12/2001,l,funestus,10,1,fed,0
1394,216,a,6,1133,21/12/2001,l,funestus,8,1,fed,3
1403,216,b,7,ct4,21/12/2001,l,funestus,10,1,fed,0
1404,216,c,7,ct4,21/12/2001,l,funestus,10,1,fed,2
1405,216,d,7,ct5,21/12/2001,r,funestus,7,1,fed,1
7,1,g,1,24,29/05/2009,s,funestus,6,1,gravid,0
25,1,a,4,imo,04/06/2007,s,funestus,10,1,gravid,0
26,1,b,4,imo,04/06/2007,s,funestus,10,1,gravid,0
27,1,c,4,imo,04/06/2007,s,funestus,10,1,gravid,0
28,1,d,4,imo,04/06/2007,s,funestus,10,1,gravid,0
29,1,e,4,imo,04/06/2007,s,funestus,10,1,gravid,0
30,1,f,4,imo,04/06/2007,s,funestus,10,1,gravid,0
31,1,g,4,imo,04/06/2007,s,funestus,8,1,gravid,0
33,1,a,5,35,04/06/2007,s,funestus,10,1,gravid,0
34,1,b,5,922,04/06/2007,s,funestus,10,1,gravid,0
35,1,c,5,922,04/06/2007,s,funestus,10,1,gravid,2
36,1,d,5,24,05/06/2006,s,funestus,9,1,gravid,0
37,1,e,5,921,05/06/2006,s,funestus,6,1,gravid,1
38,1,f,5,3232,05/06/2007,s,funestus,10,1,gravid,0
39,1,g,5,35,05/06/2007,s,funestus,10,1,gravid,0
40,1,h,5,imo,05/06/2007,s,funestus,10,1,gravid,0
41,1,a,6,921,08/06/2006,s,funestus,10,1,gravid,0
42,1,b,6,3234,08/06/2006,s,funestus,10,1,gravid,2
43,1,c,6,6,08/06/2006,s,funestus,10,1,gravid,0
44,1,d,6,3833,06/06/2007,s,funestus,10,1,gravid,0
45,1,e,6,3833,06/06/2007,s,funestus,10,1,gravid,0
46,1,f,6,35,06/06/2007,s,funestus,10,1,gravid,0
47,1,g,6,35,06/06/2007,s,funestus,10,1,gravid,0
48,1,h,6,35,06/06/2007,s,funestus,10,1,gravid,0
49,1,a,7,4587,09/06/2006,s,funestus,10,1,gravid,0
50,1,b,7,4587,09/06/2006,s,funestus,10,1,gravid,0
51,1,c,7,4587,09/06/2006,s,funestus,10,1,gravid,0
52,1,d,7,4587,09/06/2006,s,funestus,10,1,gravid,0
53,1,e,7,4587,09/06/2006,s,funestus,10,1,gravid,2
54,1,f,7,235,09/06/2006,s,funestus,10,1,gravid,0
55,1,g,7,235,09/06/2006,s,funestus,10,1,gravid,0
58,1,b,8,6,15/06/2006,s,funestus,6,1,gravid,0
59,1,c,8,1405,15/06/2006,s,funestus,10,1,gravid,0
60,1,d,8,1405,15/06/2006,s,funestus,7,1,gravid,0
61,1,e,8,23,13/12/2006,s,funestus,10,1,gravid,0
62,1,f,8,23,13/12/2006,s,funestus,10,1,gravid,0
63,1,g,8,23,13/12/2006,s,funestus,7,1,gravid,0
64,1,h,8,3234,13/12/2006,s,funestus,10,1,gravid,0
65,1,a,9,3236,13/12/2006,s,funestus,10,1,gravid,0
66,1,b,9,3214,13/12/2006,s,funestus,10,1,gravid,0
67,1,c,9,43,13/12/2006,s,funestus,10,1,gravid,0
68,1,d,9,43,13/12/2006,s,funestus,10,1,gravid,0
69,1,e,9,3214,13/12/2006,s,funestus,10,1,gravid,2
70,1,f,9,921,15/06/2006,s,funestus,10,1,gravid,0
71,1,g,9,4587,15/06/2006,s,funestus,10,1,gravid,0
72,1,h,9,4587,15/06/2006,s,funestus,10,1,gravid,0
75,1,c,10,3156,30/06/2006,s,funestus,9,1,gravid,0
79,1,g,10,ct2,14/12/2001,l,funestus,10,1,gravid,0
80,1,h,10,ct2,14/12/2001,l,funestus,10,1,gravid,0
85,1,e,11,219,14/12/2004,s,gambiae,10,1,gravid,0
86,1,f,11,219,14/12/2004,s,gambiae,10,1,gravid,0
87,1,g,11,219,14/12/2004,s,gambiae,10,1,gravid,0
88,1,h,11,219,14/12/2004,s,gambiae,10,1,gravid,0
129,2,a,5,3279,13/12/2004,s,gambiae,10,1,gravid,0
130,2,b,5,3279,13/12/2004,s,gambiae,10,1,gravid,0
131,2,c,5,3279,13/12/2004,s,gambiae,10,1,gravid,0
132,2,d,5,3279,13/12/2004,s,gambiae,10,1,gravid,0
133,2,e,5,3279,13/12/2004,s,gambiae,9,1,gravid,1
134,2,f,5,3279,13/12/2004,s,gambiae,10,1,gravid,3
135,2,g,5,922,13/12/2004,s,gambiae,10,1,gravid,0
136,2,h,5,24,06/06/2006,s,funestus,10,1,gravid,0
137,2,a,6,235,08/06/2006,s,funestus,10,1,gravid,0
138,2,b,6,235,08/06/2006,s,funestus,10,1,gravid,0
139,2,c,6,235,08/06/2006,s,funestus,10,1,gravid,0
140,2,d,6,235,08/06/2006,s,funestus,10,1,gravid,1
141,2,e,6,235,08/06/2006,s,funestus,10,1,gravid,3
142,2,f,6,3234,08/06/2006,s,funestus,10,1,gravid,0
143,2,g,6,3234,08/06/2006,s,funestus,10,1,gravid,0
144,2,h,6,35,07/06/2007,s,funestus,6,1,gravid,0
145,2,a,7,235,09/06/2006,s,funestus,10,1,gravid,1
147,2,c,7,236,10/06/2006,s,funestus,10,1,gravid,0
148,2,d,7,236,10/06/2006,s,funestus,10,1,gravid,0
149,2,e,7,236,10/06/2006,s,funestus,7,1,gravid,2
150,2,f,7,3235,09/06/2006,s,funestus,6,1,gravid,0
151,2,g,7,3235,09/06/2006,s,funestus,10,1,gravid,3
152,2,h,7,4587,09/06/2006,s,funestus,10,1,gravid,0
153,2,a,8,3890,11/06/2009,l,funestus,10,1,gravid,2
154,2,b,8,3890,11/06/2009,l,funestus,10,1,gravid,0
155,2,c,8,3890,11/06/2009,l,funestus,6,1,gravid,0
156,2,d,8,3804,11/06/2009,s,funestus,10,1,gravid,1
157,2,e,8,3900,11/06/2009,s,funestus,10,1,gravid,1
158,2,f,8,3900,11/06/2009,s,funestus,10,1,gravid,0
161,2,a,9,3234,20/06/2006,s,funestus,6,1,gravid,0
162,2,b,9,ct4,21/06/2006,s,funestus,10,1,gravid,0
163,2,c,9,ct4,22/06/2006,s,funestus,8,1,gravid,0
164,2,d,9,3235,22/06/2006,s,funestus,10,1,gravid,0
165,2,e,9,3216,22/06/2006,s,funestus,7,1,gravid,0
166,2,f,9,6,18/06/2006,s,funestus,10,1,gravid,0
167,2,g,9,3216,18/06/2006,s,funestus,10,1,gravid,0
168,2,h,9,6,19/06/2006,s,funestus,10,1,gravid,0
179,2,c,11,12,14/12/2004,s,gambiae,10,1,gravid,0
180,2,d,11,326,14/12/2004,s,gambiae,10,1,gravid,0
181,2,e,11,326,14/12/2004,s,gambiae,10,1,gravid,0
182,2,f,11,326,14/12/2004,s,gambiae,10,1,gravid,2
222,3,f,4,3279,13/12/2004,s,gambiae,10,1,gravid,0
223,3,g,4,3279,13/12/2004,s,gambiae,10,1,gravid,0
224,3,h,4,3279,13/12/2004,s,gambiae,10,1,gravid,0
225,3,a,5,300,13/12/2004,s,gambiae,5,1,gravid,0
226,3,b,5,24,13/12/2004,s,gambiae,10,1,gravid,0
227,3,c,5,922,13/12/2004,s,gambiae,10,1,gravid,0
228,3,d,5,922,13/12/2004,s,gambiae,7,1,gravid,1
229,3,e,5,24,13/12/2004,s,gambiae,10,1,gravid,0
230,3,f,5,24,13/12/2004,s,gambiae,10,1,gravid,0
231,3,g,5,24,13/12/2004,s,gambiae,10,1,gravid,0
232,3,h,5,24,13/12/2004,s,gambiae,10,1,gravid,3
233,3,a,6,24,13/12/2004,s,gambiae,10,1,gravid,0
234,3,b,6,3156,13/12/2004,s,gambiae,10,1,gravid,1
235,3,c,6,24,13/12/2004,s,gambiae,10,1,gravid,2
237,3,e,6,3235,08/06/2006,s,funestus,10,1,gravid,0
238,3,f,6,236,09/06/2006,s,funestus,10,1,gravid,0
239,3,g,6,ct4,09/06/2006,s,funestus,10,1,gravid,0
240,3,h,6,ct4,09/06/2006,s,funestus,10,1,gravid,0
241,3,a,7,235,10/06/2006,s,funestus,10,1,gravid,0
242,3,b,7,235,10/06/2006,s,funestus,10,1,gravid,0
243,3,c,7,235,10/06/2006,s,funestus,10,1,gravid,0
244,3,d,7,235,10/06/2006,s,funestus,10,1,gravid,0
245,3,e,7,235,10/06/2006,s,funestus,10,1,gravid,2
246,3,f,7,235,10/06/2006,s,funestus,10,1,gravid,0
248,3,h,7,23,13/12/2006,s,funestus,10,1,gravid,0
249,3,a,8,3234,13/12/2006,s,funestus,10,1,gravid,0
250,3,b,8,3234,13/12/2006,s,funestus,10,1,gravid,0
251,3,c,8,35,13/12/2006,s,funestus,10,1,gravid,0
252,3,d,8,3280,13/12/2006,s,funestus,10,1,gravid,0
253,3,e,8,235,13/12/2006,s,funestus,10,1,gravid,0
254,3,f,8,3236,13/12/2006,s,funestus,10,1,gravid,0
255,3,g,8,3236,13/12/2006,s,funestus,10,1,gravid,1
256,3,h,8,3236,13/12/2006,s,funestus,10,1,gravid,1
257,3,a,9,43,13/12/2006,s,funestus,10,1,gravid,2
258,3,b,9,43,13/12/2006,s,funestus,10,1,gravid,2
265,3,a,10,ct2,14/12/2001,l,funestus,10,1,gravid,3
267,3,c,10,85,14/12/2001,l,funestus,10,1,gravid,0
268,3,d,10,ct2,14/12/2001,l,funestus,10,1,gravid,3
272,3,h,10,3957,06/07/2010,s,funestus,10,1,gravid,0
281,3,a,12,3889,28/07/2009,s,funestus,10,1,gravid,2
303,4,g,2,24,03/06/2004,s,funestus,10,1,gravid,0
304,4,h,2,24,03/06/2004,s,funestus,10,1,gravid,0
214,4,f,3,922,05/04/2005,s,gambiae,10,1,gravid,0
320,4,h,4,imo,04/06/2007,s,funestus,10,1,gravid,0
321,4,a,5,24,06/06/2006,s,funestus,10,1,gravid,1
322,4,b,5,3209,06/06/2006,s,funestus,10,1,gravid,0
323,4,c,5,3232,06/06/2007,s,funestus,10,1,gravid,0
324,4,d,5,3232,06/06/2007,s,funestus,10,1,gravid,0
325,4,e,5,3232,06/06/2007,s,funestus,10,1,gravid,0
326,4,f,5,3232,06/06/2007,s,funestus,10,1,gravid,0
327,4,g,5,3232,06/06/2007,s,funestus,8,1,gravid,0
328,4,h,5,3833,06/06/2007,s,funestus,10,1,gravid,0
330,4,b,6,4587,08/06/2006,s,funestus,10,1,gravid,0
331,4,c,6,4587,08/06/2006,s,funestus,10,1,gravid,0
332,4,d,6,4587,08/06/2006,s,funestus,10,1,gravid,0
333,4,e,6,4587,08/06/2006,s,funestus,10,1,gravid,0
334,4,f,6,4587,08/06/2006,s,funestus,10,1,gravid,0
335,4,g,6,4587,08/06/2006,s,funestus,10,1,gravid,0
336,4,h,6,4587,08/06/2006,s,funestus,10,1,gravid,0
337,4,a,7,236,10/06/2006,s,funestus,10,1,gravid,3
338,4,b,7,3236,10/06/2006,s,funestus,10,1,gravid,0
339,4,c,7,3236,10/06/2006,s,funestus,10,1,gravid,0
340,4,d,7,3236,10/06/2006,s,funestus,10,1,gravid,0
341,4,e,7,3236,10/06/2006,s,funestus,10,1,gravid,0
342,4,f,7,3236,10/06/2006,s,funestus,10,1,gravid,1
343,4,g,7,3216,10/06/2006,s,funestus,10,1,gravid,0
344,4,h,7,3216,10/06/2006,s,funestus,10,1,gravid,0
345,4,a,8,94,13/06/2006,s,funestus,10,1,gravid,1
346,4,b,8,235,14/06/2006,s,funestus,10,1,gravid,0
347,4,c,8,235,14/06/2006,s,funestus,10,1,gravid,3
349,4,e,8,3235,12/06/2006,s,funestus,9,1,gravid,0
350,4,f,8,235,13/06/2006,s,funestus,10,1,gravid,0
351,4,g,8,235,13/06/2006,s,funestus,6,1,gravid,0
352,4,h,8,235,13/06/2006,s,funestus,10,1,gravid,3
353,4,a,9,921,22/06/2006,s,funestus,10,1,gravid,0
354,4,b,9,ct4,23/06/2006,s,funestus,8,1,gravid,0
355,4,c,9,3156,23/06/2006,s,funestus,10,1,gravid,0
356,4,d,9,3235,23/06/2006,s,funestus,10,1,gravid,3
357,4,e,9,3156,23/06/2006,s,funestus,8,1,gravid,0
359,4,g,9,6,16/06/2006,s,funestus,10,1,gravid,0
365,4,e,10,6,20/07/2006,s,funestus,9,1,gravid,0
370,4,b,11,6,24/07/2006,s,funestus,10,1,gravid,0
377,4,a,12,3889,28/07/2009,s,funestus,10,1,gravid,0
378,4,b,12,3889,28/07/2009,s,funestus,10,1,gravid,0
402,5,b,3,85,17/12/2001,l,funestus,10,1,gravid,2
403,5,c,3,85,17/12/2001,l,funestus,10,1,gravid,0
404,5,d,3,85,17/12/2001,l,funestus,10,1,gravid,3
405,5,e,3,85,17/12/2001,l,funestus,10,1,gravid,0
411,5,c,4,35,04/06/2007,s,funestus,10,1,gravid,0
412,5,d,4,35,04/06/2007,s,funestus,10,1,gravid,0
413,5,e,4,35,04/06/2007,s,funestus,10,1,gravid,0
414,5,f,4,35,04/06/2007,s,funestus,10,1,gravid,0
415,5,g,4,35,04/06/2007,s,funestus,10,1,gravid,0
417,5,a,5,imo,05/06/2007,s,funestus,10,1,gravid,0
418,5,b,5,3833,05/06/2007,s,funestus,10,1,gravid,0
419,5,c,5,35,05/06/2007,s,funestus,10,1,gravid,0
420,5,d,5,35,05/06/2007,s,funestus,10,1,gravid,0
421,5,e,5,35,05/06/2007,s,funestus,10,1,gravid,0
422,5,f,5,35,05/06/2007,s,funestus,10,1,gravid,0
423,5,g,5,35,05/06/2007,s,funestus,10,1,gravid,0
424,5,h,5,3232,05/06/2007,s,funestus,10,1,gravid,0
425,5,a,6,35,06/06/2007,s,funestus,10,1,gravid,0
426,5,b,6,35,06/06/2007,s,funestus,10,1,gravid,0
427,5,c,6,921,07/06/2006,s,funestus,10,1,gravid,0
428,5,d,6,35,07/06/2007,s,funestus,10,1,gravid,0
429,5,e,6,35,07/06/2007,s,funestus,10,1,gravid,0
430,5,f,6,35,07/06/2007,s,funestus,10,1,gravid,0
431,5,g,6,35,07/06/2007,s,funestus,10,1,gravid,0
432,5,h,6,24,13/12/2004,s,gambiae,10,1,gravid,0
434,5,b,7,30,18/12/2001,l,funestus,10,1,gravid,0
440,5,h,7,ct4,09/06/2006,s,funestus,10,1,gravid,0
441,5,a,8,921,11/06/2006,s,funestus,10,1,gravid,0
442,5,b,8,3890,11/06/2009,l,funestus,10,1,gravid,0
443,5,c,8,24,12/06/2006,s,funestus,10,1,gravid,0
444,5,d,8,24,12/06/2006,s,funestus,10,1,gravid,1
445,5,e,8,24,12/06/2006,s,funestus,7,1,gravid,0
446,5,f,8,235,12/06/2006,s,funestus,10,1,gravid,0
447,5,g,8,235,12/06/2006,s,funestus,10,1,gravid,0
448,5,h,8,235,12/06/2006,s,funestus,10,1,gravid,3
449,5,a,9,3216,19/06/2006,s,funestus,9,1,gravid,1
450,5,b,9,235,19/06/2006,s,funestus,10,1,gravid,0
451,5,c,9,235,19/06/2006,s,funestus,6,1,gravid,0
452,5,d,9,83,19/06/2006,s,funestus,6,1,gravid,0
453,5,e,9,6,20/06/2006,s,funestus,9,1,gravid,0
454,5,f,9,6,20/06/2006,s,funestus,10,1,gravid,1
455,5,g,9,921,20/06/2006,s,funestus,8,1,gravid,0
456,5,h,9,921,22/06/2006,s,funestus,7,1,gravid,0
457,5,a,10,150,09/07/2008,s,funestus,10,1,gravid,1
458,5,b,10,150,09/07/2008,s,funestus,7,1,gravid,0
461,5,e,10,35,28/06/2006,s,funestus,10,1,gravid,0
464,5,h,10,3232,03/07/2006,s,funestus,10,1,gravid,3
465,5,a,11,3889,22/07/2009,s,funestus,10,1,gravid,0
466,5,b,11,3889,22/07/2009,s,funestus,8,1,gravid,0
472,5,h,11,3889,20/07/2009,s,funestus,10,1,gravid,3
474,5,b,12,3889,28/07/2009,s,funestus,10,1,gravid,0
475,5,c,12,3889,28/07/2009,s,funestus,10,1,gravid,0
476,5,d,12,3889,28/07/2009,s,funestus,10,1,gravid,0
486,6,f,1,3156,21/03/2006,s,funestus,6,1,gravid,0
487,6,g,1,3156,21/03/2006,s,funestus,10,1,gravid,1
488,6,h,1,234,21/03/2006,s,funestus,10,1,gravid,3
489,6,a,2,ct4,21/03/2006,s,funestus,10,1,gravid,3
490,6,b,2,234,21/03/2006,s,funestus,10,1,gravid,0
491,6,c,2,23,21/03/2006,s,funestus,10,1,gravid,3
492,6,d,2,234,21/03/2006,s,funestus,10,1,gravid,3
493,6,e,2,234,21/03/2006,s,funestus,10,1,gravid,0
494,6,f,2,3236,21/03/2006,s,funestus,10,1,gravid,1
495,6,g,2,3833,21/03/2007,s,funestus,10,1,gravid,0
496,6,h,2,3833,21/03/2007,s,funestus,10,1,gravid,0
497,6,a,3,3236,08/03/2006,s,funestus,10,1,gravid,0
2705,6,a,3,922,05/04/2005,s,gambiae,10,1,gravid,0
498,6,b,3,3236,04/01/2007,s,funestus,10,1,gravid,0
499,6,c,3,3236,04/01/2007,s,funestus,7,1,gravid,0
2707,6,c,3,922,05/04/2005,s,gambiae,10,1,gravid,0
500,6,d,3,ct4,22/03/2006,s,funestus,5,1,gravid,3
501,6,e,3,234,22/03/2006,s,funestus,10,1,gravid,0
502,6,f,3,3236,22/03/2006,s,funestus,10,1,gravid,2
2710,6,f,3,922,05/04/2005,s,gambiae,10,1,gravid,0
503,6,g,3,234,22/03/2006,s,funestus,10,1,gravid,0
504,6,h,3,3156,22/03/2006,s,funestus,10,1,gravid,0
2715,6,c,4,3236,05/04/2006,s,funestus,10,1,gravid,0
2716,6,d,4,3236,05/04/2006,s,funestus,10,1,gravid,1
2718,6,f,4,35,05/04/2007,s,funestus,10,1,gravid,0
512,6,h,4,23,04/01/2007,s,funestus,10,1,gravid,0
513,6,a,5,1134,05/01/2005,s,gambiae,10,1,gravid,0
514,6,b,5,1134,05/01/2005,s,gambiae,10,1,gravid,0
515,6,c,5,3236,08/03/2006,s,funestus,10,1,gravid,3
2723,6,c,5,234,06/04/2006,s,funestus,10,1,gravid,3
516,6,d,5,3236,08/03/2006,s,funestus,10,1,gravid,0
517,6,e,5,3236,08/03/2006,s,funestus,10,1,gravid,0
2725,6,e,5,234,06/04/2006,s,funestus,10,1,gravid,0
518,6,f,5,3232,08/03/2006,s,funestus,10,1,gravid,0
2726,6,f,5,23,06/04/2006,s,funestus,10,1,gravid,3
519,6,g,5,3236,08/03/2006,s,funestus,10,1,gravid,0
520,6,h,5,3232,08/03/2006,s,funestus,10,1,gravid,0
521,6,a,6,279,26/03/2004,s,gambiae,10,1,gravid,0
2731,6,c,6,234,06/04/2006,s,funestus,10,1,gravid,1
2733,6,e,6,3156,06/04/2007,s,funestus,10,1,gravid,0
2734,6,f,6,3156,06/04/2007,s,funestus,10,1,gravid,2
527,6,g,6,279,26/03/2004,s,gambiae,10,1,gravid,0
528,6,h,6,3236,26/03/2006,s,funestus,10,1,gravid,2
529,6,a,7,1324,27/03/2005,s,gambiae,10,1,gravid,0
530,6,b,7,922,27/03/2005,s,gambiae,10,1,gravid,0
531,6,c,7,922,27/03/2005,s,gambiae,10,1,gravid,0
